Emerging trends in ML@ESANN 2018	Special Session - Emerging trends in machine learning: beyond conventional methods and data	Bruges, Belgium
Randomized Neural Networks - ESANN 2018	Randomized Neural Networks - Special Session @ ESANN 2018	Bruges, Belgium
MIS2 @ WSDM 2018	Misinformation and Misbehavior Mining on the Web workshop	Los Angeles, USA
ISMSI--Ei, Scopus and ISI 2018	2018 2nd International Conference on Intelligent Systems, Metaheuristics & Swarm Intelligence (ISMSI 2018)--Ei Compendex, Scopus and ISI	Phuket, Thailand
ICAISC 2018	International Conference on Artificial Intelligence and Soft Computing	Zakopane, Poland
EI--CMVIT 2018	2018 2nd International Conference on Machine Vision and Information Technology (CMVIT 2018)	Hong Kong
RDA 2018	2018 Internationl Conference on Robotics: Design and Applications (RDA 2018)	Osaka, Japan
IEMIS 2018	1ST INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES IN DATA MINING AND INFORMATION SECURITY 	Kolkata, India
NIC 2018	Workshop on Nature Inspired Computing 	Naples, Italy
ICMAI--EI and Scopus 2018	2018 International Conference on Mathematics and Artificial Intelligence (ICMAI 2018)--EI Compendex and Scopus	Chengdu, China
NAACL HLT 2018	The 16th Annual Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies	New Orleans, USA
ACM--ICDEL--Ei Compendex 2018	2018 International Conference on Distance Education and Learning (ICDEL 2018)--ACM, Ei Compendex	Beijing, China
LOPAL 2018	International Conference on Learning and Optimization Algorithms: Theory and Applications 	Rabat, Morocco
ICMVA--EI Compendex, Scopus 2018	2018 The International Conference on Machine Vision and Applications (ICMVA 2018)--EI Compendex, Scopus	Singapore
ICPR 2018	24th International Conference on Pattern Recognition	Beijing, China
ParLearning 2018	The 7th International Workshop on Parallel and Distributed Computing for Large Scale Machine Learning and Big Data Analytics	Vancouver, Canada
DSA 2018	The Frontiers in Intelligent Data and Signal Analysis DSA 2018	New York City, USA
MLDM 2018	14th International Conference on Machine Learning and Data Mining MLDM 2018	New York City, USA
ICMLT--Ei and Scopus 2018	2018 International Conference on Machine Learning Technologies (ICMLT 2018)--Ei Compendex and Scopus	Jinan, China
