ESAIR 2015	8th Workshop on  Exploiting Semantic Annotations for Information Retrieval	Melbourne, Australia
ICDM 2015	International Conference on Data Mining	Atlantic City, USA
SISAP  2015	8th International Conference on Similarity Search and Applications	Glasgow, UK
DSAA 2015	IEEE International Conference on Data Science and Advanced Analytics (DSAA 2015)	Paris, France
GID 2015	ADBIS workshop on GPUs in Databases	Poitiers, France
SUM 2015	Ninth International Conference on Scalable Uncertainty Management	Quebec, Canada
KAM 2015	21st Conference on Knowledge Acquisition and Management	Lodz, Poland
COSIT 2015	12th International Conference on Spatial Information Theory	Santa Fe, USA
SSTD 2015	14th International Symposium on Spatial and Temporal Databases	Seoul, South Korea
DaWaK 2015	17th International Conference on Big Data Analytics and Knowledge Discovery - DaWaK 2015	Valencia, Spain
VLDB 2015	41st International Conference on Very Large Data Bases	Hawaii, USA
ADC 2015	Australasian Database Conference	Melbourne, Australia
IUPT 2015	The 5th International Symposium on Internet of Ubiquitous and Pervasive Things	London, UK
ADBIS -  2015	[ADBIS'2015]: Call for Workshop Proposals	Poitiers, France
DAPHNE 2015	International Workshop on Data (Co-)Processing on Heterogeneous Hardware 	Brussels, Belgium
ICICS 2015	The 6th IEEE International Conference on Information and Communication Systems	Amman, Jordan
BDAS 2015	11th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures 	Ustron, Poland
DASFAA (Demo Track) 2015	The 20th International Conference on Database Systems for Advanced Applications (Demo Track) 	Hanoi, Vietnam
SIGMOD 2015	International Conference on Management of Data	Melbourne, Australia
DBDBD 2014	The Dutch-Belgian Database Day 2014	Antwerp, Belgium
SCDM 2014	2nd Scalable Cloud Data Management Workshop	Washington DC, USA
COMAD 2014	International Conference on Management of Data (COMAD)	Hyderabad, India
BBH 2014	The 2nd International Workshop of BigData in Bioinformatics and Healthcare Informatics	Washington DC, USA
IDAM 2014	The 4th Intelligent Data Analysis and Management	Kaohsiung, Taiwan
SDA 2014	4th International Workshop on Semantic Digital Archives (SDA)	London, UK
ICCIDM 2014	International Conference on Computational Intelligence in Data Mining, Springer	Odisha, India
ICDM 2014	IEEE International Conference on Data Mining	Shenzhen, China
ICDM 2014	[2nd Round CFP] ICDM '14: The 14th IEEE International Conference on Data Mining  	Shenzhen, China
ODBASE 2014	The conference on Ontologies, DataBases, and Applications of Semantics for Large Scale Information Systems	Amantea, Italy
FDSE 2014	The 1st International Conference on Future Data and Security Engineering 2014	Ho Chi Minh City, Vietnam
DAB 2014	3rd International Workshop on Data- and Artifact-Centric BPM	Haifa, Israel
BIRTE 2014	Eighth International Workshop on Real-Time Business Intelligence	Hangzhou, China
BigSys 2014	Workshop on System Software Support for Big Data	Stuttgart, Germany
SISAP (LNCS and IS Journal) 2014	7th International Conference on Similarity Search and Applications	Los Cabos, Mexico
GID 2014	ADBIS workshop on GPUs in Databases	Ohrid, Republic of Macedonia
GID 2014	ADBIS Workshop on GPUs In Databases	Ohrid, Republic of Macedonia
EnviroInfo 2014	28th International Conference on Informatics for Environmental Protection	Oldenburg, Germany
SBBD 2014	Brazilian Symposium on Databases - JIDM articles	Curitiba, Brazil
JISBD 2014	Jornadas de Ingeniería del Software y Bases de Datos	Cadiz, Spain
APWeb 2014	Call for Demo: The 16th Asia-Pacific Web Conference	Changsha, China
PBDA 2014	Performance of Business Database Applications	Warsaw, Poland
SEBD 2014	The 22nd Italian Symposium on Advanced Database Systems	Sorrento Coast, Italy
DATA 2014	Int'l Conf. on Data Management Technologies and Applications	Vienna, Austria
DaWaK 2014	16th International Conference on Data Warehousing and Knowledge Discovery	Munich, Germany
AECM 2014	Workshop on Applied Enterprise Content Management	Munich, Germany
VLDB 2014	40th International Conference on Very Large Data Bases	Hangzhou, China
DC @ Baltic DB&IS  2014	Call for PhD Consortium - 11th  International  Baltic  Conference  on  DB  and  IS,  DB&IS2014 / June  9,  2014,  Tallinn,  ESTONIA	Tallinn, Estonia
Baltic DB&IS 2014	The 11th International Baltic Conference on Databases and Iinformation Systems, DB&IS2014	Tallinn, Estonia
IUPT 2014	The 4th International Symposium on Internet of Ubiquitous and Pervasive Things	Hasselt, Belgium
DILS 2014	10th International Conference on Data Integration in the Life Sciences	Lisbon, Portugal
SYRCoDIS 2014	The 10th Spring Researchers Colloquium on Databases and Information Systems	Veliky Novgorod, Russia
ADC 2014	The 25th Australasian Database Conference	Brisbane, Australia
MDM 2014	15th IEEE International Conference on Mobile Data Management	Brisbane, Australia
Graph-TA 2014	Workshop on Graph-based Technologies and Applications	Barcelona, Spain
iCICS 2014	The 5th IEEE International Conference on Information and Communication Systems	Irbid, Jordan
DEOS 2014	4th Workshop on Data Extraction and Object Search	Seoul, South Korea
BDAS 2014	10th IEEE International Conference Beyond Databases, Architectures and Structures 	Ustron, Poland
DMC 2014	International Workshop on Data Management in the Cloud	Chicago, USA
EnDM 2014	3rd International Workshop on Energy Data Management	Athens, Greece
LWDM 2014	4th International Workshop on Linked Web Data Management	Athens, Greece
PODS 2014	33rd ACM SIGMOD-SIGACT-SIGART Symposium on Principles Of Database Systems	Snowbird, USA
GraphQ 2014	The Third International Workshop on Querying Graph Structured Data	Athens, Greece
NTMS 2014	Sixth IFIP International Conference on New Technologies, Mobility and Security	Dubai, UAE
